,Reviews,Ratings
0,It's mobile is amazing because this phone is best on price .bettry is good and performance is very good👍 😊😊😇 and my gf Loved it and I love infinixREAD MORE,5
1,Best smartphone in this price range. I specially purchased this phone for my father because in this phone have an automatic translate feature coz of my father english is very poor. Thats why i purchased this smartphone. Camera and battery is awesome. Display is amoled. Its also great but not excellentREAD MORE,5
2,Camera dcent display Super Audio best proximity senser and fece unlock perfectly not working but phone look design bestREAD MORE,3
3,I am type Reviews after one month using this phone after writing  all of the best mobile charge and battery🔋 life is Amazing this is value for money all feature is amazing 😍🥰😍READ MORE,5
4,"It's a beauty. Superb value for money.Slim, light, great design, good camera, excellent battery. A lot of bloatware, but it takes a few hours to make it alright. UI is a little hard to get used to at first, but within a day you yet used to it. I loved it.READ MORE",5
5,"I like my choice!!! I have choosen this after a study of at least one month in regards to my requirement & budget.I have choosen the features in a balanced way, so that I can get maximum feature benefits in a low price. I can definitely say... This is my perfect choice!!!👍READ MORE",4
6,Pros Battery is best 5000mah and 33v fast chargingAt this price camera is best AMOLED screen is greatSpeaker is good ConsDisplay must 90hz And speaker at high volume the sound make wired soundXos software need to be updateREAD MORE,5
7,This will be a perfect phone for new smartphone users and lite users like social media and web browsing.Display is smooth.Camera will meet ur expectations.Battery life is good .Infinix OS is ok but still need different swipe gestures.Fingerprint is fast and secure.READ MORE,4
8,Awesome this is most value for money smartphone everything is on top class 1- Design and looks premium 2- camera is best in this price segment 3 - performance is amazing g88 is capable processor for day to day usage4- Battery is 5000 mah with 33 watt fast charger 5- Display is high lavel Super Amoled experience outstanding on watch vedeos Thums up to infinics And thanks Flipkart for fast delivery Love to this SmartphoneREAD MORE,5
9,"Display, Charging Speed and Battery Life are the excellent!Phone comes with 33W charger, charging cable, scratch guard (plastic) and cover which is a bonus.Phone also has a Front flash, dual speakers and big AMOLED screen with a very small chin compared to other phones which are good to Have features.Camera and performance are a drawback... Was not looking for both so no effect for me, but keen users might see stuttering/frame drop while scrolling big/long pages, camera looks to be using b...READ MORE",5
10,Bad Things :-1. Camera quality is normal. 2. Selfie is bad3. Micro USB4. Sound system is not good Good Things:-1. Battery back up is awesome 2. Some extra features in this price3. Finger print sensor and Face lock sensor is so fast4. Screen resolution is goodOverall :-Overall this phone is good except camera quality.READ MORE,3
11,"Just an Average PhonePros:✓The phone build quality is good.✓The display is average, it's not that bright outdoors.✓Beware that the Realme OS is different,  it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.✓Camera is decent outdoors, without enough lighting it struggles like hell.Cons:× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...READ MORE",3
12,1) many options missing - no game mode OR game space like stuff - no stock file manager ( google files installed ) - no stock gallery ( google photos installed )Most of the stock options is replaced with Google appNEED GAME SPACENAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMIAverage CAMERA QUALITYDon't buy if you like to get pictures and SelfiesBattery Good enough batteryCharge full 100% at least once when you buy GamingNo Game Space - Notification annoying while playing ...READ MORE,3
13,"Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.READ MORE",4
14,"If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.READ MORE",4
15,I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.READ MORE,5
16,First the delivery boy is soo awesome and kind person and delivered this product 1 day earlier so I am soo happy Thank You Buddy (delivery Person).Camera is value for moneyBattery Backup is very strongDisplay is also goodDesign is good lookingTotally value for money product 👌👍👍👍READ MORE,4
17,"Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.                                     Thank you Filpkart 👍READ MORE",4
